site_no,dateTime,tz_cd,Discharge_ft3s,DO_mgL,WaterTemp_C,DOsat_pct
11447650,1/1/2017 0:00,PST,25800,10.8,8.3,92
11447650,1/1/2017 0:15,PST,,10.8,8.3,92
11447650,1/1/2017 0:30,PST,,10.8,8.3,92
11447650,1/1/2017 0:45,PST,,10.8,8.3,92
11447650,1/1/2017 1:00,PST,25700,10.8,8.3,92
11447650,1/1/2017 1:15,PST,,10.8,8.3,92
11447650,1/1/2017 1:30,PST,,10.8,8.4,92
11447650,1/1/2017 1:45,PST,,10.8,8.4,92
11447650,1/1/2017 2:00,PST,25700,10.8,8.4,92
11447650,1/1/2017 2:15,PST,,10.8,8.4,92
11447650,1/1/2017 2:30,PST,,10.8,8.4,92
11447650,1/1/2017 2:45,PST,,10.8,8.4,92
11447650,1/1/2017 3:00,PST,25600,10.8,8.4,92
11447650,1/1/2017 3:15,PST,,10.8,8.4,92
11447650,1/1/2017 3:30,PST,,10.8,8.4,92
11447650,1/1/2017 3:45,PST,,10.8,8.4,92
11447650,1/1/2017 4:00,PST,25500,10.8,8.4,92
11447650,1/1/2017 4:15,PST,,10.8,8.4,92
11447650,1/1/2017 4:30,PST,,10.8,8.4,92
11447650,1/1/2017 4:45,PST,,10.8,8.4,92
11447650,1/1/2017 5:00,PST,25400,10.8,8.4,92
11447650,1/1/2017 5:15,PST,,10.8,8.4,92
11447650,1/1/2017 5:30,PST,,10.8,8.4,92
11447650,1/1/2017 5:45,PST,,10.8,8.4,92
11447650,1/1/2017 6:00,PST,25300,10.8,8.4,92
11447650,1/1/2017 6:15,PST,,10.8,8.4,92
11447650,1/1/2017 6:30,PST,,10.8,8.4,92
11447650,1/1/2017 6:45,PST,,10.8,8.4,92
11447650,1/1/2017 7:00,PST,25200,10.8,8.4,92
11447650,1/1/2017 7:15,PST,,10.8,8.4,92
11447650,1/1/2017 7:30,PST,,10.8,8.4,92
11447650,1/1/2017 7:45,PST,,10.8,8.4,92
11447650,1/1/2017 8:00,PST,25200,10.8,8.3,92
11447650,1/1/2017 8:15,PST,,10.8,8.3,92
11447650,1/1/2017 8:30,PST,,10.8,8.3,92
11447650,1/1/2017 8:45,PST,,10.8,8.3,92
11447650,1/1/2017 9:00,PST,25100,10.8,8.3,92
11447650,1/1/2017 9:15,PST,,10.8,8.3,92
11447650,1/1/2017 9:30,PST,,10.8,8.3,92
11447650,1/1/2017 9:45,PST,,10.8,8.3,92
11447650,1/1/2017 10:00,PST,25000,10.8,8.3,92
11447650,1/1/2017 10:15,PST,,10.8,8.3,92
11447650,1/1/2017 10:30,PST,,10.8,8.3,92
11447650,1/1/2017 10:45,PST,,10.8,8.3,92
11447650,1/1/2017 11:00,PST,24900,10.8,8.3,92
11447650,1/1/2017 11:15,PST,,10.8,8.3,92
11447650,1/1/2017 11:30,PST,,10.8,8.3,92
11447650,1/1/2017 11:45,PST,,10.8,8.3,92
11447650,1/1/2017 12:00,PST,24800,10.8,8.3,92
11447650,1/1/2017 12:15,PST,,10.8,8.3,92
11447650,1/1/2017 12:30,PST,,10.8,8.3,92
11447650,1/1/2017 12:45,PST,,10.8,8.3,92
11447650,1/1/2017 13:00,PST,24700,10.8,8.3,92
11447650,1/1/2017 13:15,PST,,10.8,8.3,92
11447650,1/1/2017 13:30,PST,,10.8,8.4,92
11447650,1/1/2017 13:45,PST,,10.8,8.4,92
11447650,1/1/2017 14:00,PST,24600,10.8,8.4,92
11447650,1/1/2017 14:15,PST,,10.8,8.4,92
11447650,1/1/2017 14:30,PST,,10.8,8.4,92
11447650,1/1/2017 14:45,PST,,10.8,8.4,92
11447650,1/1/2017 15:00,PST,24500,10.8,8.4,92
11447650,1/1/2017 15:15,PST,,10.8,8.4,92
11447650,1/1/2017 15:30,PST,,10.8,8.4,93
11447650,1/1/2017 15:45,PST,,10.8,8.4,92
11447650,1/1/2017 16:00,PST,24500,10.8,8.4,92
11447650,1/1/2017 16:15,PST,,10.8,8.4,92
11447650,1/1/2017 16:30,PST,,10.8,8.4,92
11447650,1/1/2017 16:45,PST,,10.8,8.4,92
11447650,1/1/2017 17:00,PST,24400,10.8,8.4,92
11447650,1/1/2017 17:15,PST,,10.8,8.4,92
11447650,1/1/2017 17:30,PST,,10.8,8.4,92
11447650,1/1/2017 17:45,PST,,10.8,8.4,92
11447650,1/1/2017 18:00,PST,24300,10.8,8.4,92
11447650,1/1/2017 18:15,PST,,10.8,8.4,92
11447650,1/1/2017 18:30,PST,,10.8,8.4,92
11447650,1/1/2017 18:45,PST,,10.8,8.4,92
11447650,1/1/2017 19:00,PST,24200,10.8,8.4,92
11447650,1/1/2017 19:15,PST,,10.8,8.4,92
11447650,1/1/2017 19:30,PST,,10.8,8.4,92
11447650,1/1/2017 19:45,PST,,10.8,8.4,92
11447650,1/1/2017 20:00,PST,24100,10.8,8.4,92
11447650,1/1/2017 20:15,PST,,10.8,8.4,92
11447650,1/1/2017 20:30,PST,,10.8,8.4,92
11447650,1/1/2017 20:45,PST,,10.8,8.4,92
11447650,1/1/2017 21:00,PST,24000,10.8,8.4,92
11447650,1/1/2017 21:15,PST,,10.8,8.4,92
11447650,1/1/2017 21:30,PST,,10.8,8.4,92
11447650,1/1/2017 21:45,PST,,10.8,8.4,92
11447650,1/1/2017 22:00,PST,23900,10.8,8.4,92
11447650,1/1/2017 22:15,PST,,10.8,8.4,92
11447650,1/1/2017 22:30,PST,,10.8,8.4,92
11447650,1/1/2017 22:45,PST,,10.8,8.4,92
11447650,1/1/2017 23:00,PST,23800,10.8,8.4,92
11447650,1/1/2017 23:15,PST,,10.8,8.4,92
11447650,1/1/2017 23:30,PST,,10.8,8.4,92
11447650,1/1/2017 23:45,PST,,10.8,8.4,92
11447650,1/2/2017 0:00,PST,23700,10.8,8.4,92
11447650,1/2/2017 0:15,PST,,10.8,8.4,92
11447650,1/2/2017 0:30,PST,,10.8,8.4,92
11447650,1/2/2017 0:45,PST,,10.8,8.4,92
11447650,1/2/2017 1:00,PST,23600,10.8,8.4,92
11447650,1/2/2017 1:15,PST,,10.8,8.4,92
11447650,1/2/2017 1:30,PST,,10.8,8.4,92
11447650,1/2/2017 1:45,PST,,10.8,8.4,92
11447650,1/2/2017 2:00,PST,23500,10.8,8.4,92
11447650,1/2/2017 2:15,PST,,10.8,8.4,92
11447650,1/2/2017 2:30,PST,,10.8,8.4,92
11447650,1/2/2017 2:45,PST,,10.8,8.4,92
11447650,1/2/2017 3:00,PST,23400,10.8,8.4,92
11447650,1/2/2017 3:15,PST,,10.8,8.4,92
11447650,1/2/2017 3:30,PST,,10.8,8.4,92
11447650,1/2/2017 3:45,PST,,10.8,8.4,92
11447650,1/2/2017 4:00,PST,23300,10.8,8.4,92
11447650,1/2/2017 4:15,PST,,10.8,8.4,92
11447650,1/2/2017 4:30,PST,,10.8,8.4,92
11447650,1/2/2017 4:45,PST,,10.8,8.4,92
11447650,1/2/2017 5:00,PST,23200,10.8,8.4,92
11447650,1/2/2017 5:15,PST,,10.8,8.4,92
11447650,1/2/2017 5:30,PST,,10.8,8.4,92
11447650,1/2/2017 5:45,PST,,10.8,8.4,92
11447650,1/2/2017 6:00,PST,23100,10.8,8.4,92
11447650,1/2/2017 6:15,PST,,10.8,8.4,92
11447650,1/2/2017 6:30,PST,,10.8,8.4,92
11447650,1/2/2017 6:45,PST,,10.8,8.4,92
11447650,1/2/2017 7:00,PST,23000,10.8,8.4,92
11447650,1/2/2017 7:15,PST,,10.8,8.4,92
11447650,1/2/2017 7:30,PST,,10.8,8.4,92
11447650,1/2/2017 7:45,PST,,10.8,8.4,92
11447650,1/2/2017 8:00,PST,22900,10.8,8.4,92
11447650,1/2/2017 8:15,PST,,10.8,8.4,92
11447650,1/2/2017 8:30,PST,,10.8,8.4,92
11447650,1/2/2017 8:45,PST,,10.8,8.4,92
11447650,1/2/2017 9:00,PST,22800,10.8,8.4,92
11447650,1/2/2017 9:15,PST,,10.8,8.4,92
11447650,1/2/2017 9:30,PST,,10.8,8.4,92
11447650,1/2/2017 9:45,PST,,10.8,8.4,92
11447650,1/2/2017 10:00,PST,22700,10.8,8.4,92
11447650,1/2/2017 10:15,PST,,10.8,8.4,92
11447650,1/2/2017 10:30,PST,,10.8,8.4,92
11447650,1/2/2017 10:45,PST,,10.8,8.4,92
11447650,1/2/2017 11:00,PST,22600,10.8,8.4,92
11447650,1/2/2017 11:15,PST,,10.8,8.4,92
11447650,1/2/2017 11:30,PST,,10.8,8.4,92
11447650,1/2/2017 11:45,PST,,10.8,8.4,92
11447650,1/2/2017 12:00,PST,22500,10.8,8.4,92
11447650,1/2/2017 12:15,PST,,10.8,8.4,92
11447650,1/2/2017 12:30,PST,,10.8,8.4,92
11447650,1/2/2017 12:45,PST,,10.8,8.4,92
11447650,1/2/2017 13:00,PST,22400,10.8,8.4,92
11447650,1/2/2017 13:15,PST,,10.8,8.4,92
11447650,1/2/2017 13:30,PST,,10.8,8.4,92
11447650,1/2/2017 13:45,PST,,10.8,8.4,92
11447650,1/2/2017 14:00,PST,22300,10.8,8.4,92
11447650,1/2/2017 14:15,PST,,10.8,8.4,92
11447650,1/2/2017 14:30,PST,,10.8,8.4,92
11447650,1/2/2017 14:45,PST,,10.8,8.4,92
11447650,1/2/2017 15:00,PST,22200,10.8,8.4,92
11447650,1/2/2017 15:15,PST,,10.8,8.4,92
11447650,1/2/2017 15:30,PST,,10.8,8.4,92
11447650,1/2/2017 15:45,PST,,10.8,8.4,92
11447650,1/2/2017 16:00,PST,22100,10.8,8.4,92
11447650,1/2/2017 16:15,PST,,10.8,8.4,92
11447650,1/2/2017 16:30,PST,,10.8,8.4,92
11447650,1/2/2017 16:45,PST,,10.8,8.4,92
11447650,1/2/2017 17:00,PST,22000,10.8,8.4,92
11447650,1/2/2017 17:15,PST,,10.8,8.4,92
11447650,1/2/2017 17:30,PST,,10.8,8.4,92
11447650,1/2/2017 17:45,PST,,10.8,8.4,92
11447650,1/2/2017 18:00,PST,21900,10.8,8.4,92
11447650,1/2/2017 18:15,PST,,10.8,8.4,92
11447650,1/2/2017 18:30,PST,,10.8,8.4,92
11447650,1/2/2017 18:45,PST,,10.8,8.4,92
11447650,1/2/2017 19:00,PST,21800,10.8,8.4,92
11447650,1/2/2017 19:15,PST,,10.8,8.4,92
11447650,1/2/2017 19:30,PST,,10.8,8.4,92
11447650,1/2/2017 19:45,PST,,10.8,8.4,92
11447650,1/2/2017 20:00,PST,21700,10.8,8.4,92
11447650,1/2/2017 20:15,PST,,10.8,8.4,92
11447650,1/2/2017 20:30,PST,,10.8,8.4,92
11447650,1/2/2017 20:45,PST,,10.8,8.4,92
11447650,1/2/2017 21:00,PST,21600,10.8,8.3,92
11447650,1/2/2017 21:15,PST,,10.8,8.3,92
11447650,1/2/2017 21:30,PST,,10.8,8.3,92
11447650,1/2/2017 21:45,PST,,10.8,8.3,92
11447650,1/2/2017 22:00,PST,21500,10.8,8.3,92
11447650,1/2/2017 22:15,PST,,10.8,8.3,92
11447650,1/2/2017 22:30,PST,,10.8,8.3,92
11447650,1/2/2017 22:45,PST,,10.8,8.3,92
11447650,1/2/2017 23:00,PST,21500,10.8,8.3,92
11447650,1/2/2017 23:15,PST,,10.8,8.3,92
11447650,1/2/2017 23:30,PST,,10.8,8.3,92
11447650,1/2/2017 23:45,PST,,10.8,8.3,92
11447650,1/3/2017 0:00,PST,21400,10.8,8.3,92
11447650,1/3/2017 0:15,PST,,10.8,8.3,92
11447650,1/3/2017 0:30,PST,,10.8,8.3,92
11447650,1/3/2017 0:45,PST,,10.8,8.3,92
11447650,1/3/2017 1:00,PST,21300,10.8,8.3,92
11447650,1/3/2017 1:15,PST,,10.8,8.3,92
11447650,1/3/2017 1:30,PST,,10.8,8.3,92
11447650,1/3/2017 1:45,PST,,10.8,8.3,92
11447650,1/3/2017 2:00,PST,21200,10.8,8.3,92
11447650,1/3/2017 2:15,PST,,10.8,8.3,92
11447650,1/3/2017 2:30,PST,,10.8,8.3,92
11447650,1/3/2017 2:45,PST,,10.8,8.4,92
11447650,1/3/2017 3:00,PST,21200,10.8,8.4,92
11447650,1/3/2017 3:15,PST,,10.8,8.4,92
11447650,1/3/2017 3:30,PST,,10.8,8.4,92
11447650,1/3/2017 3:45,PST,,10.8,8.4,92
11447650,1/3/2017 4:00,PST,21100,10.8,8.4,92
11447650,1/3/2017 4:15,PST,,10.8,8.4,92
11447650,1/3/2017 4:30,PST,,10.8,8.4,92
11447650,1/3/2017 4:45,PST,,10.8,8.4,92
11447650,1/3/2017 5:00,PST,21000,10.8,8.4,92
11447650,1/3/2017 5:15,PST,,10.8,8.4,92
11447650,1/3/2017 5:30,PST,,10.8,8.4,92
11447650,1/3/2017 5:45,PST,,10.8,8.4,92
11447650,1/3/2017 6:00,PST,21000,10.8,8.4,92
11447650,1/3/2017 6:15,PST,,10.8,8.4,92
11447650,1/3/2017 6:30,PST,,10.8,8.4,92
11447650,1/3/2017 6:45,PST,,10.8,8.4,92
11447650,1/3/2017 7:00,PST,20900,10.8,8.4,92
11447650,1/3/2017 7:15,PST,,10.8,8.4,92
11447650,1/3/2017 7:30,PST,,10.8,8.4,92
11447650,1/3/2017 7:45,PST,,10.8,8.4,92
11447650,1/3/2017 8:00,PST,20900,10.8,8.4,92
11447650,1/3/2017 8:15,PST,,10.8,8.4,92
11447650,1/3/2017 8:30,PST,,10.8,8.4,92
11447650,1/3/2017 8:45,PST,,10.8,8.4,92
11447650,1/3/2017 9:00,PST,20800,10.8,8.4,92
11447650,1/3/2017 9:15,PST,,10.8,8.4,92
11447650,1/3/2017 9:30,PST,,10.8,8.4,92
