Lat,Long,dateTime,WaterTemp_C,Discharge_m3s,DO_mgL,DOsat_pct
38.9833375,-94.9646893,1/1/2017 6:00,2.9,151.49488,13.1,98
38.9833375,-94.9646893,1/1/2017 6:15,2.8,150.645376,13.2,98
38.9833375,-94.9646893,1/1/2017 6:30,2.8,151.49488,13.2,97
38.9833375,-94.9646893,1/1/2017 6:45,2.8,151.49488,13.1,97
38.9833375,-94.9646893,1/1/2017 7:00,2.7,151.49488,13.1,97
38.9833375,-94.9646893,1/1/2017 7:15,2.7,151.49488,13.2,97
38.9833375,-94.9646893,1/1/2017 7:30,2.6,150.645376,13.2,97
38.9833375,-94.9646893,1/1/2017 7:45,2.6,150.645376,13.2,97
38.9833375,-94.9646893,1/1/2017 8:00,2.5,150.645376,13.2,97
38.9833375,-94.9646893,1/1/2017 8:15,2.5,150.07904,13.2,97
38.9833375,-94.9646893,1/1/2017 8:30,2.4,150.07904,13.2,97
38.9833375,-94.9646893,1/1/2017 8:45,2.4,149.229536,13.2,97
38.9833375,-94.9646893,1/1/2017 9:00,2.3,149.229536,13.2,97
38.9833375,-94.9646893,1/1/2017 9:15,2.3,148.6632,13.2,97
38.9833375,-94.9646893,1/1/2017 9:30,2.2,148.6632,13.3,97
38.9833375,-94.9646893,1/1/2017 9:45,2.2,148.6632,13.3,97
38.9833375,-94.9646893,1/1/2017 10:00,2.1,148.096864,13.3,97
38.9833375,-94.9646893,1/1/2017 10:15,2.1,147.24736,13.3,97
38.9833375,-94.9646893,1/1/2017 10:30,2,148.096864,13.3,97
38.9833375,-94.9646893,1/1/2017 10:45,2,148.096864,13.3,96
38.9833375,-94.9646893,1/1/2017 11:00,2,148.6632,13.3,96
38.9833375,-94.9646893,1/1/2017 11:15,2,148.096864,13.3,96
38.9833375,-94.9646893,1/1/2017 11:30,1.9,148.096864,13.3,96
38.9833375,-94.9646893,1/1/2017 11:45,1.9,148.6632,13.3,96
38.9833375,-94.9646893,1/1/2017 12:00,1.9,148.6632,13.3,96
38.9833375,-94.9646893,1/1/2017 12:15,1.8,148.6632,13.3,96
38.9833375,-94.9646893,1/1/2017 12:30,1.8,149.229536,13.4,96
38.9833375,-94.9646893,1/1/2017 12:45,1.8,150.07904,13.3,96
38.9833375,-94.9646893,1/1/2017 13:00,1.8,150.07904,13.4,96
38.9833375,-94.9646893,1/1/2017 13:15,1.8,150.645376,13.4,96
38.9833375,-94.9646893,1/1/2017 13:30,1.8,151.49488,13.4,96
38.9833375,-94.9646893,1/1/2017 13:45,1.8,151.49488,13.3,96
38.9833375,-94.9646893,1/1/2017 14:00,1.8,152.061216,13.4,96
38.9833375,-94.9646893,1/1/2017 14:15,1.8,152.627552,13.4,96
38.9833375,-94.9646893,1/1/2017 14:30,1.9,152.627552,13.4,96
38.9833375,-94.9646893,1/1/2017 14:45,1.9,153.477056,13.4,96
38.9833375,-94.9646893,1/1/2017 15:00,1.9,154.043392,13.3,97
38.9833375,-94.9646893,1/1/2017 15:15,2,154.043392,13.3,97
38.9833375,-94.9646893,1/1/2017 15:30,2,154.892896,13.4,97
38.9833375,-94.9646893,1/1/2017 15:45,2.1,155.459232,13.4,97
38.9833375,-94.9646893,1/1/2017 16:00,2.1,156.308736,13.4,97
38.9833375,-94.9646893,1/1/2017 16:15,2.2,156.308736,13.4,97
38.9833375,-94.9646893,1/1/2017 16:30,2.2,156.875072,13.3,98
38.9833375,-94.9646893,1/1/2017 16:45,2.3,156.875072,13.4,98
38.9833375,-94.9646893,1/1/2017 17:00,2.4,157.724576,13.3,98
38.9833375,-94.9646893,1/1/2017 17:15,2.5,157.724576,13.3,98
38.9833375,-94.9646893,1/1/2017 17:30,2.5,157.724576,13.3,98
38.9833375,-94.9646893,1/1/2017 17:45,2.6,158.290912,13.3,98
38.9833375,-94.9646893,1/1/2017 18:00,2.7,158.290912,13.3,98
38.9833375,-94.9646893,1/1/2017 18:15,2.8,158.857248,13.3,98
38.9833375,-94.9646893,1/1/2017 18:30,2.8,158.857248,13.3,99
38.9833375,-94.9646893,1/1/2017 18:45,2.9,158.857248,13.3,99
38.9833375,-94.9646893,1/1/2017 19:00,3,158.857248,13.3,99
38.9833375,-94.9646893,1/1/2017 19:15,3.1,158.857248,13.3,99
38.9833375,-94.9646893,1/1/2017 19:30,3.2,158.857248,13.3,99
38.9833375,-94.9646893,1/1/2017 19:45,3.2,158.857248,13.3,100
38.9833375,-94.9646893,1/1/2017 20:00,3.3,158.290912,13.3,100
38.9833375,-94.9646893,1/1/2017 20:15,3.3,158.290912,13.3,100
38.9833375,-94.9646893,1/1/2017 20:30,3.4,158.290912,13.3,100
38.9833375,-94.9646893,1/1/2017 20:45,3.4,157.724576,13.3,100
38.9833375,-94.9646893,1/1/2017 21:00,3.4,156.875072,13.3,100
38.9833375,-94.9646893,1/1/2017 21:15,3.5,156.875072,13.3,100
38.9833375,-94.9646893,1/1/2017 21:30,3.5,156.308736,13.3,100
38.9833375,-94.9646893,1/1/2017 21:45,3.5,156.308736,13.3,100
38.9833375,-94.9646893,1/1/2017 22:00,3.6,156.308736,13.3,100
38.9833375,-94.9646893,1/1/2017 22:15,3.5,155.459232,13.3,100
38.9833375,-94.9646893,1/1/2017 22:30,3.5,154.892896,13.3,100
38.9833375,-94.9646893,1/1/2017 22:45,3.6,154.892896,13.3,100
38.9833375,-94.9646893,1/1/2017 23:00,3.5,154.892896,13.3,100
38.9833375,-94.9646893,1/1/2017 23:15,3.5,154.892896,13.3,100
38.9833375,-94.9646893,1/1/2017 23:30,3.5,154.043392,13.2,100
38.9833375,-94.9646893,1/1/2017 23:45,3.5,153.477056,13.3,100
38.9833375,-94.9646893,1/2/2017 0:00,3.5,153.477056,13.3,100
38.9833375,-94.9646893,1/2/2017 0:15,3.5,153.477056,13.3,100
38.9833375,-94.9646893,1/2/2017 0:30,3.4,154.043392,13.3,100
38.9833375,-94.9646893,1/2/2017 0:45,3.4,153.477056,13.3,100
38.9833375,-94.9646893,1/2/2017 1:00,3.4,154.043392,13.3,100
38.9833375,-94.9646893,1/2/2017 1:15,3.3,154.892896,13.3,100
38.9833375,-94.9646893,1/2/2017 1:30,3.3,154.892896,13.3,100
38.9833375,-94.9646893,1/2/2017 1:45,3.2,155.459232,13.3,100
38.9833375,-94.9646893,1/2/2017 2:00,3.2,155.459232,13.3,100
38.9833375,-94.9646893,1/2/2017 2:15,3.2,156.308736,13.3,100
38.9833375,-94.9646893,1/2/2017 2:30,3.1,156.308736,13.3,99
38.9833375,-94.9646893,1/2/2017 2:45,3.1,156.308736,13.3,99
38.9833375,-94.9646893,1/2/2017 3:00,3.1,156.875072,13.3,99
38.9833375,-94.9646893,1/2/2017 3:15,3,156.875072,13.3,99
38.9833375,-94.9646893,1/2/2017 3:30,3,157.724576,13.3,99
38.9833375,-94.9646893,1/2/2017 3:45,3,157.724576,13.3,99
38.9833375,-94.9646893,1/2/2017 4:00,3,157.724576,13.3,99
