site_no,dateTime,tz_cd,Discharge_ft3s,WaterTemp_C,DO_mgL,DOsat_pct
11447890,1/1/2017 0:00,PST,21500,8.2,10.8,91
11447890,1/1/2017 0:15,PST,21600,8.2,10.8,91
11447890,1/1/2017 0:30,PST,21600,8.2,10.8,91
11447890,1/1/2017 0:45,PST,21600,8.2,10.8,91
11447890,1/1/2017 1:00,PST,21500,8.2,10.8,91
11447890,1/1/2017 1:15,PST,21600,8.2,10.8,91
11447890,1/1/2017 1:30,PST,21700,8.2,10.8,91
11447890,1/1/2017 1:45,PST,21500,8.2,10.8,91
11447890,1/1/2017 2:00,PST,21500,8.2,10.8,91
11447890,1/1/2017 2:15,PST,21300,8.2,10.8,91
11447890,1/1/2017 2:30,PST,20900,8.2,10.8,91
11447890,1/1/2017 2:45,PST,20600,8.2,10.8,91
11447890,1/1/2017 3:00,PST,20300,8.2,10.8,91
11447890,1/1/2017 3:15,PST,19900,8.2,10.8,91
11447890,1/1/2017 3:30,PST,19400,8.2,10.8,91
11447890,1/1/2017 3:45,PST,19000,8.2,10.8,91
11447890,1/1/2017 4:00,PST,18500,8.2,10.8,91
11447890,1/1/2017 4:15,PST,18200,8.2,10.8,91
11447890,1/1/2017 4:30,PST,17900,8.2,10.8,91
11447890,1/1/2017 4:45,PST,17200,8.2,10.8,91
11447890,1/1/2017 5:00,PST,17000,8.2,10.8,91
11447890,1/1/2017 5:15,PST,16500,8.2,10.7,91
11447890,1/1/2017 5:30,PST,16200,8.2,10.7,91
11447890,1/1/2017 5:45,PST,15900,8.2,10.8,91
11447890,1/1/2017 6:00,PST,15600,8.2,10.7,91
11447890,1/1/2017 6:15,PST,15500,8.2,10.7,91
11447890,1/1/2017 6:30,PST,15400,8.2,10.7,91
11447890,1/1/2017 6:45,PST,15100,8.2,10.7,91
11447890,1/1/2017 7:00,PST,15200,8.2,10.7,91
11447890,1/1/2017 7:15,PST,15100,8.2,10.7,91
11447890,1/1/2017 7:30,PST,15100,8.2,10.7,91
11447890,1/1/2017 7:45,PST,15100,8.3,10.7,91
11447890,1/1/2017 8:00,PST,15300,8.3,10.7,91
11447890,1/1/2017 8:15,PST,15300,8.3,10.7,91
11447890,1/1/2017 8:30,PST,15600,8.3,10.7,91
11447890,1/1/2017 8:45,PST,15800,8.3,10.7,91
11447890,1/1/2017 9:00,PST,16000,8.3,10.7,91
11447890,1/1/2017 9:15,PST,16300,8.3,10.7,91
11447890,1/1/2017 9:30,PST,16600,8.3,10.7,91
11447890,1/1/2017 9:45,PST,16800,8.3,10.7,91
11447890,1/1/2017 10:00,PST,17100,8.3,10.7,91
11447890,1/1/2017 10:15,PST,17500,8.3,10.7,91
11447890,1/1/2017 10:30,PST,17700,8.3,10.7,91
11447890,1/1/2017 10:45,PST,17900,8.3,10.8,92
11447890,1/1/2017 11:00,PST,18300,8.4,10.8,92
11447890,1/1/2017 11:15,PST,18400,8.4,10.7,92
11447890,1/1/2017 11:30,PST,18600,8.4,10.7,92
11447890,1/1/2017 11:45,PST,18800,8.4,10.7,92
11447890,1/1/2017 12:00,PST,18800,8.4,10.7,92
11447890,1/1/2017 12:15,PST,18900,8.4,10.7,92
11447890,1/1/2017 12:30,PST,19000,8.4,10.7,92
11447890,1/1/2017 12:45,PST,19000,8.4,10.7,92
11447890,1/1/2017 13:00,PST,18900,8.5,10.7,92
11447890,1/1/2017 13:15,PST,18900,8.5,10.7,92
11447890,1/1/2017 13:30,PST,18900,8.5,10.7,92
11447890,1/1/2017 13:45,PST,18500,8.5,10.7,92
11447890,1/1/2017 14:00,PST,18300,8.5,10.7,92
11447890,1/1/2017 14:15,PST,18100,8.5,10.7,92
11447890,1/1/2017 14:30,PST,17800,8.5,10.7,92
11447890,1/1/2017 14:45,PST,17500,8.5,10.7,92
11447890,1/1/2017 15:00,PST,16900,8.5,10.7,92
11447890,1/1/2017 15:15,PST,16400,8.5,10.7,92
11447890,1/1/2017 15:30,PST,16200,8.5,10.7,92
11447890,1/1/2017 15:45,PST,15500,8.5,10.7,92
11447890,1/1/2017 16:00,PST,15300,8.5,10.7,92
11447890,1/1/2017 16:15,PST,15100,8.5,10.7,92
11447890,1/1/2017 16:30,PST,14800,8.5,10.7,92
11447890,1/1/2017 16:45,PST,14600,8.5,10.7,92
11447890,1/1/2017 17:00,PST,14300,8.5,10.7,92
11447890,1/1/2017 17:15,PST,14100,8.5,10.7,92
11447890,1/1/2017 17:30,PST,14100,8.5,10.7,92
11447890,1/1/2017 17:45,PST,14000,8.5,10.7,92
11447890,1/1/2017 18:00,PST,14200,8.5,10.7,92
11447890,1/1/2017 18:15,PST,14300,8.5,10.7,92
11447890,1/1/2017 18:30,PST,14400,8.5,10.7,92
11447890,1/1/2017 18:45,PST,14700,8.5,10.7,92
11447890,1/1/2017 19:00,PST,14900,8.5,10.7,92
11447890,1/1/2017 19:15,PST,15100,8.5,10.7,92
11447890,1/1/2017 19:30,PST,15500,8.5,10.7,92
11447890,1/1/2017 19:45,PST,15900,8.5,10.8,92
11447890,1/1/2017 20:00,PST,16400,8.5,10.7,92
11447890,1/1/2017 20:15,PST,16600,8.5,10.7,92
11447890,1/1/2017 20:30,PST,17000,8.5,10.8,92
11447890,1/1/2017 20:45,PST,17400,8.4,10.8,92
11447890,1/1/2017 21:00,PST,17800,8.4,10.8,92
11447890,1/1/2017 21:15,PST,18000,8.4,10.8,92
11447890,1/1/2017 21:30,PST,18100,8.4,10.8,92
11447890,1/1/2017 21:45,PST,18400,8.4,10.8,92
11447890,1/1/2017 22:00,PST,18500,8.4,10.8,92
11447890,1/1/2017 22:15,PST,18700,8.4,10.8,92
11447890,1/1/2017 22:30,PST,18900,8.4,10.8,92
11447890,1/1/2017 22:45,PST,19200,8.4,10.8,92
11447890,1/1/2017 23:00,PST,19300,8.4,10.8,92
11447890,1/1/2017 23:15,PST,19500,8.4,10.8,92
11447890,1/1/2017 23:30,PST,19600,8.4,10.8,92
11447890,1/1/2017 23:45,PST,19600,8.4,10.8,92
11447890,1/2/2017 0:00,PST,20000,8.4,10.8,92
11447890,1/2/2017 0:15,PST,20200,8.4,10.8,92
11447890,1/2/2017 0:30,PST,20300,8.4,10.8,92
11447890,1/2/2017 0:45,PST,20300,8.4,10.8,92
11447890,1/2/2017 1:00,PST,20500,8.4,10.8,92
11447890,1/2/2017 1:15,PST,20500,8.4,10.8,92
11447890,1/2/2017 1:30,PST,20300,8.4,10.8,92
11447890,1/2/2017 1:45,PST,20400,8.4,10.8,92
11447890,1/2/2017 2:00,PST,20400,8.4,10.8,92
11447890,1/2/2017 2:15,PST,20200,8.4,10.8,92
11447890,1/2/2017 2:30,PST,20300,8.4,10.8,92
11447890,1/2/2017 2:45,PST,20400,8.4,10.8,92
11447890,1/2/2017 3:00,PST,20000,8.4,10.8,92
