site_no,dateTime,tz_cd,Discharge_ft3s,WaterTemp_C,DOsat_pct,DO_mgL
5420500,1/1/2017 0:00,CST,73200,1.3,90,13.1
5420500,1/1/2017 0:10,CST,73000,1.3,NA,NA
5420500,1/1/2017 0:20,CST,73000,1.3,NA,NA
5420500,1/1/2017 0:30,CST,73000,1.3,90,13.1
5420500,1/1/2017 0:40,CST,73000,1.3,NA,NA
5420500,1/1/2017 0:50,CST,73300,1.3,NA,NA
5420500,1/1/2017 1:00,CST,73300,1.3,90,13.1
5420500,1/1/2017 1:10,CST,72800,1.3,NA,NA
5420500,1/1/2017 1:20,CST,73600,1.3,NA,NA
5420500,1/1/2017 1:30,CST,73300,1.3,90,13.1
5420500,1/1/2017 1:40,CST,73300,1.3,NA,NA
5420500,1/1/2017 1:50,CST,73000,1.3,NA,NA
5420500,1/1/2017 2:00,CST,73600,1.3,90,13.1
5420500,1/1/2017 2:10,CST,73600,1.3,NA,NA
5420500,1/1/2017 2:20,CST,73600,1.3,NA,NA
5420500,1/1/2017 2:30,CST,73300,1.3,90,13.1
5420500,1/1/2017 2:40,CST,73100,1.3,NA,NA
5420500,1/1/2017 2:50,CST,73600,1.3,NA,NA
5420500,1/1/2017 3:00,CST,73100,1.3,90,13.1
5420500,1/1/2017 3:10,CST,73600,1.3,NA,NA
5420500,1/1/2017 3:20,CST,73600,1.2,NA,NA
5420500,1/1/2017 3:30,CST,73700,1.3,90,13.1
5420500,1/1/2017 3:40,CST,73900,1.2,NA,NA
5420500,1/1/2017 3:50,CST,73700,1.2,NA,NA
5420500,1/1/2017 4:00,CST,73700,1.2,90,13.1
5420500,1/1/2017 4:10,CST,73900,1.2,NA,NA
5420500,1/1/2017 4:20,CST,73700,1.2,NA,NA
5420500,1/1/2017 4:30,CST,73700,1.2,90,13.1
5420500,1/1/2017 4:40,CST,73400,1.2,NA,NA
5420500,1/1/2017 4:50,CST,74200,1.2,NA,NA
5420500,1/1/2017 5:00,CST,73700,1.2,89,13
5420500,1/1/2017 5:10,CST,73900,1.2,NA,NA
5420500,1/1/2017 5:20,CST,74500,1.2,NA,NA
5420500,1/1/2017 5:30,CST,74000,1.2,89,13
5420500,1/1/2017 5:40,CST,74300,1.2,NA,NA
5420500,1/1/2017 5:50,CST,74500,1.2,NA,NA
5420500,1/1/2017 6:00,CST,74500,1.2,89,13
5420500,1/1/2017 6:10,CST,74300,1.2,NA,NA
5420500,1/1/2017 6:20,CST,74300,1.2,NA,NA
5420500,1/1/2017 6:30,CST,74800,1.2,89,13
5420500,1/1/2017 6:40,CST,74300,1.2,NA,NA
5420500,1/1/2017 6:50,CST,74100,1.2,NA,NA
5420500,1/1/2017 7:00,CST,74600,1.2,89,13
5420500,1/1/2017 7:10,CST,74600,1.2,NA,NA
5420500,1/1/2017 7:20,CST,75200,1.2,NA,NA
5420500,1/1/2017 7:30,CST,74900,1.2,89,13
5420500,1/1/2017 7:40,CST,74900,1.2,NA,NA
5420500,1/1/2017 7:50,CST,75400,1.2,NA,NA
5420500,1/1/2017 8:00,CST,74900,1.2,89,13
5420500,1/1/2017 8:10,CST,75000,1.2,NA,NA
5420500,1/1/2017 8:20,CST,75000,1.2,NA,NA
5420500,1/1/2017 8:30,CST,75000,1.2,89,13
5420500,1/1/2017 8:40,CST,75500,1.2,NA,NA
5420500,1/1/2017 8:50,CST,75200,1.2,NA,NA
5420500,1/1/2017 9:00,CST,75200,1.2,89,13
5420500,1/1/2017 9:10,CST,75500,1.2,NA,NA
5420500,1/1/2017 9:20,CST,75200,1.2,NA,NA
5420500,1/1/2017 9:30,CST,75500,1.2,89,13
5420500,1/1/2017 9:40,CST,75500,1.2,NA,NA
5420500,1/1/2017 9:50,CST,75300,1.2,NA,NA
5420500,1/1/2017 10:00,CST,75800,1.2,89,13
5420500,1/1/2017 10:10,CST,75800,1.2,NA,NA
5420500,1/1/2017 10:20,CST,76100,1.2,NA,NA
5420500,1/1/2017 10:30,CST,76100,1.2,89,13
5420500,1/1/2017 10:40,CST,76100,1.2,NA,NA
5420500,1/1/2017 10:50,CST,75900,1.2,NA,NA
5420500,1/1/2017 11:00,CST,76100,1.2,89,13
5420500,1/1/2017 11:10,CST,75900,1.2,NA,NA
5420500,1/1/2017 11:20,CST,75400,1.2,NA,NA
5420500,1/1/2017 11:30,CST,75600,1.3,90,13
5420500,1/1/2017 11:40,CST,75600,1.2,NA,NA
5420500,1/1/2017 11:50,CST,75900,1.3,NA,NA
5420500,1/1/2017 12:00,CST,75700,1.3,90,13
5420500,1/1/2017 12:10,CST,75700,1.3,NA,NA
5420500,1/1/2017 12:20,CST,75900,1.3,NA,NA
5420500,1/1/2017 12:30,CST,75400,1.3,90,13
5420500,1/1/2017 12:40,CST,75100,1.3,NA,NA
5420500,1/1/2017 12:50,CST,75400,1.3,NA,NA
5420500,1/1/2017 13:00,CST,75100,1.3,90,13
5420500,1/1/2017 13:10,CST,75400,1.3,NA,NA
5420500,1/1/2017 13:20,CST,74800,1.4,NA,NA
5420500,1/1/2017 13:30,CST,75400,1.4,90,13
5420500,1/1/2017 13:40,CST,75100,1.4,NA,NA
5420500,1/1/2017 13:50,CST,74800,1.4,NA,NA
5420500,1/1/2017 14:00,CST,74600,1.4,90,13
5420500,1/1/2017 14:10,CST,74600,1.4,NA,NA
5420500,1/1/2017 14:20,CST,74800,1.4,NA,NA
5420500,1/1/2017 14:30,CST,74800,1.4,90,13
5420500,1/1/2017 14:40,CST,74600,1.4,NA,NA
5420500,1/1/2017 14:50,CST,74600,1.4,NA,NA
5420500,1/1/2017 15:00,CST,74300,1.4,90,13
5420500,1/1/2017 15:10,CST,74600,1.4,NA,NA
5420500,1/1/2017 15:20,CST,74300,1.4,NA,NA
5420500,1/1/2017 15:30,CST,74300,1.4,90,13
5420500,1/1/2017 15:40,CST,74500,1.4,NA,NA
5420500,1/1/2017 15:50,CST,74300,1.4,NA,NA
5420500,1/1/2017 16:00,CST,74300,1.4,90,13
5420500,1/1/2017 16:10,CST,74800,1.4,NA,NA
5420500,1/1/2017 16:20,CST,74800,1.4,NA,NA
5420500,1/1/2017 16:30,CST,74100,1.4,90,13
5420500,1/1/2017 16:40,CST,73800,1.4,NA,NA
5420500,1/1/2017 16:50,CST,73800,1.4,NA,NA
5420500,1/1/2017 17:00,CST,74100,1.4,90,13
5420500,1/1/2017 17:10,CST,74300,1.4,NA,NA
5420500,1/1/2017 17:20,CST,74000,1.4,NA,NA
5420500,1/1/2017 17:30,CST,74000,1.4,90,13
5420500,1/1/2017 17:40,CST,74300,1.4,NA,NA
5420500,1/1/2017 17:50,CST,74600,1.4,NA,NA
5420500,1/1/2017 18:00,CST,73800,1.4,90,13
5420500,1/1/2017 18:10,CST,74300,1.4,NA,NA
5420500,1/1/2017 18:20,CST,74000,1.4,NA,NA
5420500,1/1/2017 18:30,CST,73600,1.4,90,13
5420500,1/1/2017 18:40,CST,74000,1.4,NA,NA
5420500,1/1/2017 18:50,CST,74100,1.4,NA,NA
5420500,1/1/2017 19:00,CST,74100,1.4,90,13
5420500,1/1/2017 19:10,CST,74100,1.4,NA,NA
5420500,1/1/2017 19:20,CST,74300,1.4,NA,NA
5420500,1/1/2017 19:30,CST,74300,1.4,90,13.1
5420500,1/1/2017 19:40,CST,74100,1.4,NA,NA
5420500,1/1/2017 19:50,CST,74100,1.4,NA,NA
5420500,1/1/2017 20:00,CST,74300,1.4,90,13.1
5420500,1/1/2017 20:10,CST,74300,1.4,NA,NA
5420500,1/1/2017 20:20,CST,74100,1.4,NA,NA
5420500,1/1/2017 20:30,CST,74100,1.4,90,13.1
5420500,1/1/2017 20:40,CST,74100,1.4,NA,NA
5420500,1/1/2017 20:50,CST,74100,1.4,NA,NA
5420500,1/1/2017 21:00,CST,74100,1.4,90,13.1
5420500,1/1/2017 21:10,CST,73800,1.4,NA,NA
5420500,1/1/2017 21:20,CST,74600,1.4,NA,NA
5420500,1/1/2017 21:30,CST,74400,1.4,90,13.1
5420500,1/1/2017 21:40,CST,74100,1.4,NA,NA
5420500,1/1/2017 21:50,CST,74400,1.4,NA,NA
5420500,1/1/2017 22:00,CST,74100,1.4,90,13.1
5420500,1/1/2017 22:10,CST,74100,1.4,NA,NA
5420500,1/1/2017 22:20,CST,74000,1.3,NA,NA
5420500,1/1/2017 22:30,CST,74300,1.4,90,13.1
5420500,1/1/2017 22:40,CST,74400,1.4,NA,NA
5420500,1/1/2017 22:50,CST,73800,1.3,NA,NA
5420500,1/1/2017 23:00,CST,74300,1.4,90,13.1
5420500,1/1/2017 23:10,CST,74300,1.3,NA,NA
5420500,1/1/2017 23:20,CST,74100,1.3,NA,NA
5420500,1/1/2017 23:30,CST,74300,1.3,90,13.1
5420500,1/1/2017 23:40,CST,74300,1.3,NA,NA
5420500,1/1/2017 23:50,CST,74100,1.3,NA,NA
5420500,1/2/2017 0:00,CST,74100,1.3,90,13.1
5420500,1/2/2017 0:10,CST,74100,1.3,NA,NA
5420500,1/2/2017 0:20,CST,73800,1.3,NA,NA
5420500,1/2/2017 0:30,CST,74300,1.3,90,13.1
5420500,1/2/2017 0:40,CST,74100,1.3,NA,NA
5420500,1/2/2017 0:50,CST,73800,1.3,NA,NA
5420500,1/2/2017 1:00,CST,74400,1.3,90,13.1
5420500,1/2/2017 1:10,CST,74100,1.3,NA,NA
5420500,1/2/2017 1:20,CST,74100,1.3,NA,NA
5420500,1/2/2017 1:30,CST,73800,1.3,90,13.1
5420500,1/2/2017 1:40,CST,73800,1.3,NA,NA
5420500,1/2/2017 1:50,CST,73800,1.3,NA,NA
5420500,1/2/2017 2:00,CST,73600,1.3,90,13.1
5420500,1/2/2017 2:10,CST,73800,1.3,NA,NA
5420500,1/2/2017 2:20,CST,73800,1.3,NA,NA
5420500,1/2/2017 2:30,CST,73600,1.3,90,13.1
5420500,1/2/2017 2:40,CST,73600,1.3,NA,NA
5420500,1/2/2017 2:50,CST,74100,1.3,NA,NA
5420500,1/2/2017 3:00,CST,73600,1.3,90,13.1
5420500,1/2/2017 3:10,CST,73900,1.3,NA,NA
5420500,1/2/2017 3:20,CST,73900,1.2,NA,NA
5420500,1/2/2017 3:30,CST,73300,1.2,90,13.1
5420500,1/2/2017 3:40,CST,73800,1.2,NA,NA
5420500,1/2/2017 3:50,CST,74100,1.2,NA,NA
5420500,1/2/2017 4:00,CST,73800,1.3,90,13.1
5420500,1/2/2017 4:10,CST,74100,1.2,NA,NA
5420500,1/2/2017 4:20,CST,74100,1.2,NA,NA
5420500,1/2/2017 4:30,CST,73500,1.2,90,13.1
5420500,1/2/2017 4:40,CST,74100,1.2,NA,NA
5420500,1/2/2017 4:50,CST,73800,1.2,NA,NA
5420500,1/2/2017 5:00,CST,73800,1.2,90,13
5420500,1/2/2017 5:10,CST,73600,1.2,NA,NA
5420500,1/2/2017 5:20,CST,73600,1.2,NA,NA
5420500,1/2/2017 5:30,CST,73600,1.2,89,13
5420500,1/2/2017 5:40,CST,73800,1.2,NA,NA
5420500,1/2/2017 5:50,CST,74000,1.2,NA,NA
5420500,1/2/2017 6:00,CST,74000,1.2,89,13
5420500,1/2/2017 6:10,CST,74100,1.2,NA,NA
5420500,1/2/2017 6:20,CST,74100,1.2,NA,NA
5420500,1/2/2017 6:30,CST,74100,1.2,89,13
5420500,1/2/2017 6:40,CST,74100,1.2,NA,NA
5420500,1/2/2017 6:50,CST,74100,1.2,NA,NA
5420500,1/2/2017 7:00,CST,73800,1.2,89,13
5420500,1/2/2017 7:10,CST,74100,1.2,NA,NA
5420500,1/2/2017 7:20,CST,74100,1.2,NA,NA
5420500,1/2/2017 7:30,CST,74100,1.2,89,13
5420500,1/2/2017 7:40,CST,74100,1.2,NA,NA
5420500,1/2/2017 7:50,CST,74100,1.2,NA,NA
5420500,1/2/2017 8:00,CST,74100,1.2,89,13
5420500,1/2/2017 8:10,CST,74100,1.2,NA,NA
5420500,1/2/2017 8:20,CST,73500,1.2,NA,NA
5420500,1/2/2017 8:30,CST,74100,1.2,89,13
5420500,1/2/2017 8:40,CST,74400,1.2,NA,NA
5420500,1/2/2017 8:50,CST,74100,1.2,NA,NA
5420500,1/2/2017 9:00,CST,74100,1.2,89,13
