"dateTime","WaterTemp_C","Discharge_m3s","DO_mgL","DOsat_pct","Light_PAR"
2016-01-27 16:00:00,0,91.746432,14,96,NA
2016-01-27 16:30:00,0,91.746432,14.1,96,NA
2016-01-27 17:00:00,0.2,91.746432,14,96,709.9
2016-01-27 17:30:00,0.3,92.312768,14,96,682.42
2016-01-27 18:00:00,0.4,92.312768,14,97,668.91
2016-01-27 18:30:00,0.6,92.595936,14,97,743.67
2016-01-27 19:00:00,0.8,92.595936,13.9,98,860.27
2016-01-27 19:30:00,1,93.162272,13.9,98,522.64
2016-01-27 20:00:00,1.2,93.728608,13.9,98,415.53
2016-01-27 20:30:00,1.4,94.86128,13.8,99,462.49
2016-01-27 21:00:00,1.6,94.86128,13.8,99,321.35
2016-01-27 21:30:00,1.8,96.560288,13.8,100,195.12
2016-01-27 22:00:00,1.9,97.69296,13.8,100,146.86
2016-01-27 22:30:00,2,98.259296,13.8,100,101.29
2016-01-27 23:00:00,2,98.825632,13.7,99,37.42
2016-01-27 23:30:00,2,99.391968,13.7,99,3.62
2016-01-28 00:00:00,1.9,99.958304,13.7,99,0.28
2016-01-28 00:30:00,1.9,98.825632,13.6,99,0.26
2016-01-28 01:00:00,1.8,99.391968,13.7,99,0.26
2016-01-28 01:30:00,1.8,98.825632,13.6,98,0.26
2016-01-28 02:00:00,1.7,98.259296,13.6,98,0.27
2016-01-28 02:30:00,1.7,97.69296,13.6,98,0.27
2016-01-28 03:00:00,1.7,97.126624,13.6,98,0.27
2016-01-28 03:30:00,1.6,96.560288,13.6,98,0.28
2016-01-28 04:00:00,1.6,96.560288,13.6,97,0.27
2016-01-28 04:30:00,1.6,95.993952,13.6,97,0.27
2016-01-28 05:00:00,1.6,95.427616,13.5,97,0.26
2016-01-28 05:30:00,1.6,95.993952,13.5,97,0.27
2016-01-28 06:00:00,1.6,NA,13.5,97,0.27
2016-01-28 06:30:00,1.5,NA,13.5,96,0.26
2016-01-28 07:00:00,1.5,NA,13.5,96,0.26
2016-01-28 07:30:00,1.5,NA,13.5,96,0.26
2016-01-28 08:00:00,1.5,NA,13.5,96,0.26
2016-01-28 08:30:00,1.5,NA,13.4,96,0.25
2016-01-28 09:00:00,1.5,NA,13.4,96,0.26
2016-01-28 09:30:00,1.4,NA,13.4,96,0.25
2016-01-28 10:00:00,1.4,NA,13.5,96,0.26
2016-01-28 10:30:00,1.3,NA,13.5,96,0.27
2016-01-28 11:00:00,1.2,NA,13.5,96,0.26
2016-01-28 11:30:00,1.2,NA,13.5,96,0.25
2016-01-28 12:00:00,1.1,NA,13.6,96,NA
2016-01-28 12:30:00,0.9,NA,13.6,95,0.26
2016-01-28 13:00:00,0.8,NA,13.6,95,1.54
2016-01-28 13:30:00,0.7,NA,13.6,95,17.59
2016-01-28 14:00:00,0.6,NA,13.7,95,50.88
2016-01-28 14:30:00,0.6,NA,13.7,95,58.09
2016-01-28 15:00:00,0.6,NA,13.7,95,207.64
2016-01-28 15:30:00,0.6,NA,13.8,96,294.31
2016-01-28 20:00:00,2.2,NA,13.7,100,540.77
2016-01-28 20:30:00,2.5,NA,13.7,100,549.43
2016-01-28 21:00:00,2.6,NA,13.6,100,239.88
