dateTime,Light_PAR
1/27/2016 16:00,NA
1/27/2016 16:30,NA
1/27/2016 17:00,709.9
1/27/2016 17:30,682.42
1/27/2016 18:00,668.91
1/27/2016 18:30,743.67
1/27/2016 19:00,860.27
1/27/2016 19:30,522.64
1/27/2016 20:00,415.53
1/27/2016 20:30,462.49
1/27/2016 21:00,321.35
1/27/2016 21:30,195.12
1/27/2016 22:00,146.86
1/27/2016 22:30,101.29
1/27/2016 23:00,37.42
1/27/2016 23:30,3.62
1/28/2016 0:00,0.28
1/28/2016 0:30,0.26
1/28/2016 1:00,0.26
1/28/2016 1:30,0.26
1/28/2016 2:00,0.27
1/28/2016 2:30,0.27
1/28/2016 3:00,0.27
1/28/2016 3:30,0.28
1/28/2016 4:00,0.27
1/28/2016 4:30,0.27
1/28/2016 5:00,0.26
1/28/2016 5:30,0.27
1/28/2016 6:00,0.27
1/28/2016 6:30,0.26
1/28/2016 7:00,0.26
1/28/2016 7:30,0.26
1/28/2016 8:00,0.26
1/28/2016 8:30,0.25
1/28/2016 9:00,0.26
1/28/2016 9:30,0.25
1/28/2016 10:00,0.26
1/28/2016 10:30,0.27
1/28/2016 11:00,0.26
1/28/2016 11:30,0.25
1/28/2016 12:00,NA
1/28/2016 12:30,0.26
1/28/2016 13:00,1.54
1/28/2016 13:30,17.59
1/28/2016 14:00,50.88
1/28/2016 14:30,58.09
1/28/2016 15:00,207.64
1/28/2016 15:30,294.31
1/28/2016 20:00,540.77
1/28/2016 20:30,549.43
1/28/2016 21:00,239.88
1/28/2016 21:30,175.19
1/28/2016 22:00,157.13
1/28/2016 22:30,95.89
1/28/2016 23:00,26.83
1/28/2016 23:30,3.54
1/29/2016 0:00,0.3
1/29/2016 0:30,0.27
1/29/2016 1:00,0.27
1/29/2016 1:30,0.27
1/29/2016 2:00,0.28
1/29/2016 2:30,0.27
1/29/2016 3:00,0.27
1/29/2016 3:30,0.27
1/29/2016 4:00,0.26
1/29/2016 4:30,0.26
1/29/2016 5:00,0.28
1/29/2016 5:30,0.26
1/29/2016 6:00,0.26
1/29/2016 6:30,0.25
1/29/2016 7:00,0.26
1/29/2016 7:30,0.27
1/29/2016 8:00,0.26
1/29/2016 8:30,0.25
1/29/2016 9:00,0.24
1/29/2016 9:30,0.24
1/29/2016 10:00,0.25
1/29/2016 10:30,0.25
1/29/2016 11:00,0.25
1/29/2016 11:30,0.24
1/29/2016 12:00,0.24
1/29/2016 12:30,0.25
1/29/2016 13:00,1.68
1/29/2016 13:30,18.69
1/29/2016 14:00,53.66
1/29/2016 14:30,64.63
1/29/2016 15:00,205.24
1/29/2016 15:30,296.11
1/29/2016 16:00,586.88
1/29/2016 16:30,308.79
1/29/2016 17:00,774.11
1/29/2016 17:30,655.74
1/29/2016 18:00,808.53
1/29/2016 18:30,871.17
1/29/2016 19:00,895
1/29/2016 19:30,555.38
1/29/2016 20:00,546.27
1/29/2016 20:30,533.4
1/29/2016 21:00,236.18
1/29/2016 21:30,162.25
1/29/2016 22:00,158.17
1/29/2016 22:30,105.61
1/29/2016 23:00,21.13
1/29/2016 23:30,3.62
1/30/2016 0:00,0.32
1/30/2016 0:30,0.28
1/30/2016 1:00,0.26
1/30/2016 1:30,0.27
1/30/2016 2:00,0.28
1/30/2016 2:30,0.28
1/30/2016 3:00,0.29
1/30/2016 3:30,0.28
1/30/2016 4:00,0.27
1/30/2016 4:30,0.28
1/30/2016 5:00,0.27
1/30/2016 5:30,0.27
1/30/2016 6:00,0.28
1/30/2016 6:30,0.27
1/30/2016 7:00,0.26
1/30/2016 7:30,0.26
1/30/2016 8:00,0.28
1/30/2016 8:30,0.27
1/30/2016 9:00,0.27
1/30/2016 9:30,0.27
1/30/2016 10:00,0.26
1/30/2016 10:30,0.25
1/30/2016 11:00,0.28
1/30/2016 11:30,0.25
1/30/2016 12:00,0.27
1/30/2016 12:30,0.26
1/30/2016 13:00,1.54
1/30/2016 13:30,17.99
1/30/2016 14:00,67.41
1/30/2016 14:30,NA
1/30/2016 15:00,151.71
1/30/2016 15:30,207.98
1/30/2016 16:00,380.77
1/30/2016 16:30,293.97
1/30/2016 17:00,349.22
1/30/2016 17:30,559.02
1/30/2016 18:00,649.19
1/30/2016 18:30,849.15
1/30/2016 19:00,675.01
1/30/2016 19:30,589.21
1/30/2016 20:00,517.81
1/30/2016 20:30,366.21
1/30/2016 21:00,204.41
1/30/2016 21:30,168.05
1/30/2016 22:00,106.88
1/30/2016 22:30,74.6
1/30/2016 23:00,31.25
1/30/2016 23:30,3.33
1/31/2016 0:00,0.29
1/31/2016 0:30,0.26
1/31/2016 1:00,0.27
1/31/2016 1:30,0.27
1/31/2016 2:00,0.26
