site_no,dateTime,tz_cd,Discharge_ft3s,WaterTemp_C,DO_mgL,DOsat_pct
1191000,1/1/2017 0:00,EST,14.7,1.3,12.8,91
1191000,1/1/2017 0:15,EST,14.7,1.3,12.8,91
1191000,1/1/2017 0:30,EST,14.7,1.4,12.8,91
1191000,1/1/2017 0:45,EST,14.7,1.4,12.8,91
1191000,1/1/2017 1:00,EST,14.7,1.4,12.8,91
1191000,1/1/2017 1:15,EST,14.7,1.4,12.8,91
1191000,1/1/2017 1:30,EST,14.7,1.4,12.8,91
1191000,1/1/2017 1:45,EST,14.7,1.4,12.8,91
1191000,1/1/2017 2:00,EST,14.7,1.4,12.7,91
1191000,1/1/2017 2:15,EST,14.7,1.4,12.7,91
1191000,1/1/2017 2:30,EST,14.7,1.4,12.7,91
1191000,1/1/2017 2:45,EST,14.7,1.4,12.7,90
1191000,1/1/2017 3:00,EST,14.7,1.4,12.7,90
1191000,1/1/2017 3:15,EST,14.7,1.4,12.7,90
1191000,1/1/2017 3:30,EST,14.7,1.4,12.7,90
1191000,1/1/2017 3:45,EST,14.7,1.4,12.7,90
1191000,1/1/2017 4:00,EST,14.7,1.4,12.6,90
1191000,1/1/2017 4:15,EST,14.7,1.4,12.6,90
1191000,1/1/2017 4:30,EST,14.7,1.4,12.6,90
1191000,1/1/2017 4:45,EST,14.7,1.4,12.6,90
1191000,1/1/2017 5:00,EST,14.7,1.4,12.6,90
1191000,1/1/2017 5:15,EST,14.7,1.4,12.6,90
1191000,1/1/2017 5:30,EST,14.7,1.4,12.6,90
1191000,1/1/2017 5:45,EST,14.7,1.3,12.6,90
1191000,1/1/2017 6:00,EST,14.7,1.3,12.6,90
1191000,1/1/2017 6:15,EST,14.7,1.3,12.6,90
1191000,1/1/2017 6:30,EST,14.7,1.3,12.6,90
1191000,1/1/2017 6:45,EST,14.7,1.3,12.6,90
1191000,1/1/2017 7:00,EST,14.7,1.2,12.6,89
1191000,1/1/2017 7:15,EST,14.7,1.2,12.6,89
1191000,1/1/2017 7:30,EST,14.7,1.2,12.6,89
1191000,1/1/2017 7:45,EST,14.7,1.2,12.6,89
1191000,1/1/2017 8:00,EST,14.7,1.2,12.6,89
1191000,1/1/2017 8:15,EST,14.7,1.2,12.6,89
1191000,1/1/2017 8:30,EST,14.7,1.2,12.6,90
1191000,1/1/2017 8:45,EST,14.7,1.2,12.7,90
1191000,1/1/2017 9:00,EST,14.7,1.2,12.7,90
1191000,1/1/2017 9:15,EST,14.7,1.2,12.8,90
1191000,1/1/2017 9:30,EST,14.7,1.2,12.8,91
1191000,1/1/2017 9:45,EST,14.7,1.2,12.8,91
1191000,1/1/2017 10:00,EST,14.7,1.3,12.9,91
1191000,1/1/2017 10:15,EST,14.7,1.3,12.9,92
1191000,1/1/2017 10:30,EST,14.7,1.4,12.9,92
1191000,1/1/2017 10:45,EST,14.7,1.4,13,93
